,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
169,Tipaza,36.5678,2.4567,7.8,12.5,2.1,24.5,0.45,1.35,"[0.0, 30.0]"
172,Constantine,36.3651,6.6128,7.49,4.12,1.56,14.8,0.39,1.63,"[20.0, 30.0]"
176,Constantine,36.3597,6.6206,7.8,22.6,1.5,15.2,0.35,1.45,"[0.0, 30.0]"
178,Relizane,35.7333,0.9333,7.53,18.1,1.13,12.3,0.55,1.41,"[0.0, 20.0]"
181,Setif,36.483333,5.4,8.34,34.4,2.01,12.4,0.35,1.42,"[0.0, 20.0]"
182,Mostaganem,35.941111,0.145556,8.45,26.7,1.23,23.4,0.25,1.42,"[0.0, 20.0]"
191,Ghardaia,32.4271,3.8139,7.9,390.0,0.97,53.302,0.035,1.55,"[42.0, 81.0]"
204,Tiaret,35.3667,1.1333,8.5,23.5,1.8,35.6,1.42,1.35,"[0.0, 30.0]"
205,Tiaret,35.3833,1.1333,8.5,20.5,0.95,22.1,0.35,1.35,"[0.0, 30.0]"
206,Chlef,36.1767,1.2833,8.1,18.4,1.2,14.5,1.3,1.6,"[20.0, 40.0]"
207,Tipaza,36.5973,2.4549,7.85,4.31,1.34,15.23,0.82,1.42,"[0.0, 30.0]"
209,Relizane,35.733333,0.916667,8.1,32.5,1.5,15.2,0.21,1.4,"[0.0, 30.0]"
216,Tipaza,36.5708,2.4523,8.2,35.5,2.3,15.2,0.5,1.45,"[0.0, 30.0]"
217,Constantine,36.3658,6.6143,7.8,18.2,2.1,20.0,350.0,1.4,"[0.0, 30.0]"
219,Tiaret,35.3833,1.8333,8.1,16.4,1.2,15.6,0.35,1.42,"[0.0, 30.0]"
220,Wilaya de Setif,36.1967,5.4067,8.3,34.7,1.3,13.4,0.45,1.45,"[0.0, 30.0]"
221,Annaba,36.9,7.75,8.35,10.35,1.4,25.4,0.35,1.55,"[0.0, 20.0]"
222,Annaba,36.8833,7.7667,7.15,25.8,1.15,14.5,425.0,1.35,"[5.0, 20.0]"
224,Tiaret,35.3833,1.8333,8.23,35.12,2.34,15.67,0.48,1.35,"[0.0, 20.0]"
228,Tiaret,35.3833,1.1333,7.91,378.269,11.61,318.769,340.0,1.37,"[5.0, 20.0]"
231,Ghardaia,32.3678,3.7333,8.1,35.4,1.4,15.2,0.45,1.53,"[0.0, 30.0]"
234,Biskra,34.85,5.73,8.1,35.6,1.4,15.3,3.2,1.4,"[0.0, 30.0]"
235,Tebessa,35.3997,8.116666,7.9,35.4,1.2,5.2,1.3,1.4,"[0.0, 20.0]"
238,Biskra,34.85,5.75,8.23,23.4,1.45,15.6,2.3,1.45,"[0.0, 30.0]"
251,Biskra,34.85,5.73,7.0,11.6,1.5,25.0,2.5,1.6,"[0.0, 20.0]"
254,Ghardaia,32.47,3.8,7.4,30.11,0.97,2.61,3.18,1.55,"[0.0, 30.0]"
255,Biskra,34.833333,5.733333,7.0,25.0,1.5,15.0,2.5,1.6,"[0.0, 20.0]"
258,Batna,35.5542,6.1753,7.8,2.35,2.15,20.4,1.32,1.45,"[0.0, 20.0]"
262,Tiaret,35.383333,1.816667,8.05,14.8,1.15,15.6,236.0,1.35,"[0.0, 30.0]"
