,Wilaya,Lat,Lon,Ph,Calcaire Total,Matiere Organique (MO),Capacite d'echange Cationique (CEC),Conductivite electrique (CE),Densite Apparente (Da),Depth
817,Tebessa,35.4167,8.1167,8.5,20.0,30.0,100.0,120.0,1.6,20.0
819,Ghardaia,32.3833,3.6667,7.6,43.6,0.63,23.5,0.31,1.63,"[0.0, 30.0]"
822,Tindouf,27.6667,8.1333,8.15,45.05,1.85,15.22,1.51,1.75,"[0.0, 30.0]"
825,Tindouf,27.633333,-8.15,8.37,13.25,2.03,13.12,12.76,1.14,"[0.0, 17.0]"
828,Tamanrasset,22.7833,5.5333,7.93,13.0,4.44,13.02,2.87,1.68,3.6
838,Tamanrasset,22.7833,5.5333,7.5,35.1,1.85,21.4,0.35,1.45,"[0.0, 20.0]"
853,Tiaret,35.38,1.78,7.25,33.45,17.74,16.21,100.0,1.59,1.0
856,Mostaganem,35.9333,0.1333,7.76,34.62,30.31,31.92,37.23,5.5,3.0
862,Tiaret,35.3833,1.8333,8.4,21.5,2.5,24.5,1.45,1.55,"[0.0, 20.0]"
864,Tiaret,35.3775,1.3214,7.8,15.2,1.2,14.5,0.12,1.55,"[0.0, 20.0]"
865,Tiaret,35.36,1.45,7.5,20.5,1.7,24.1,0.35,1.45,"[0.0, 20.0]"
871,Tlemcen,34.8913,1.3181,7.8,27.8,13.3,46.7,38.3,22.7,"[20.0, 30.0]"
881,Oran,35.68,-0.63,7.8,23.4,1.2,12.5,0.15,1.65,"[0.0, 20.0]"
882,Oran,35.63,-0.62,7.5,28.5,1.2,14.1,0.25,1.35,"[0.0, 30.0]"
885,Oran,35.6667,-0.6167,8.1,35.5,2.2,24.5,0.45,1.33,"[0.0, 30.0]"
887,Oran,35.69,0.64,8.5,20.5,1.8,35.6,0.42,1.35,"[0.0, 30.0]"
888,Oran,35.6333,0.6333,8.2,24.5,1.2,14.5,1.1,1.4,"[0.0, 30.0]"
889,Oran,35.6389,-0.6222,8.1,35.6,1.82,15.3,1.4,1.45,"[0.0, 30.0]"
890,Oran,35.6333,-0.6333,8.4,34.0,1.2,20.0,0.45,1.4,"[0.0, 30.0]"
892,Oran,35.69,-0.63,7.8,9987.0,696.0,309.0,4504.0,10569.0,"[0.0, 40.0]"
894,Oran,31.9463,-8.7943,7.5,20.0,3.2,15.0,0.5,1.4,"[0.0, 20.0]"
895,Oran,35.6911,0.6333,7.8,23.0,2.5,20.0,0.8,1.4,"[0.0, 20.0]"
896,Ain Temouchent,35.2874,-1.1442,7.38,24.3,1.23,14.5,0.39,1.45,"[0.0, 30.0]"
898,Oran,35.64,0.62,8.15,2.95,1.28,13.5,1.35,1.55,"[0.0, 20.0]"
899,Tipaza,36.5833,2.4333,8.2,15.1,1.4,14.5,1.2,1.65,"[0.0, 20.0]"
902,Bordj Bou Arreridj,36.0667,4.7667,7.5,20.3,3.2,15.6,0.8,1.3,20.0
905,Tipaza,36.5833,2.45,8.1,12.8,1.4,14.2,0.26,1.5,"[0.0, 20.0]"
907,Wilaya of Mascara,35.3833,0.1333,8.1,23.4,2.5,20.3,0.35,1.6,"[0.0, 30.0]"
909,Djelfa,34.670278,3.283333,8.1,15.4,1.3,12.6,340.0,1.45,"[0.0, 20.0]"
910,Wilaya of Tiaret,35.3833,1.8,7.5,22.5,8.2,57.1,1.49,1.7,"[22.0, 30.0]"
917,Batna,35.55,6.17,7.42,23.5,2.1,24.8,0.34,1.49,"[0.0, 30.0]"
919,Medea,36.25,2.73,7.8,12.4,1.8,14.5,0.35,1.25,"[20.0, 40.0]"
920,Alger,36.7535,3.0425,7.4,24.0,1.2,32.0,350.0,1.4,"[0.0, 40.0]"
930,Mostaganem,35.95,0.1439,8.2,15.8,22.1,23.2,0.13,1.35,"[0.0, 20.0]"
933,Tiaret,35.3833,1.1333,8.2,38.4,1.4,23.5,4.2,1.35,"[0.0, 30.0]"
937,Relizane,35.733333,0.566667,8.5,110.74,2.6,1500.0,4.0,1.5,100.0
938,Relizane,35.73,0.55,8.1,22.4,1.2,12.5,0.8,1.6,"[0.0, 20.0]"
942,Relizane,35.7439,0.5564,7.0,20.0,1.5,20.0,2.0,1.3,"[0.0, 20.0]"
944,Tiaret,35.3833,2.45,7.8,28.4,1.2,15.6,0.45,1.6,"[0.0, 20.0]"
951,Setif,36.08535,5.32861,8.7,83.0,0.5,8.5,1.5,11.0,45
960,Relizane,35.7333,0.55,8.35,12.8,2.43,11.5,1.2,1.35,"[0.0, 30.0]"
962,Mostaganem,35.9333,0.0833,7.2,22.9,3.4,34.6,2.4,1.3,"[0.0, 20.0]"
965,Tipaza,36.5667,2.45,7.78,15.6,2.91,24.4,0.21,1.38,"[0.0, 30.0]"
976,Constantine,36.3654,6.6212,7.53,14.5,1.4,12.8,0.65,1.35,"[0.0, 20.0]"
979,Tebessa,35.4,8.1,8.2,13.5,1.4,12.6,0.5,1.3,"[0.0, 20.0]"
980,Oum El Bouaghi,35.876389,7.095278,7.7,175.6,1.93,15.4,0.28,1.62,"[0.0, 20.0]"
983,Oum El Bouaghi,35.8777,6.9714,7.3,4275.6,659.0,412.9,67.8,1.37,"[0.0, 30.0]"
984,Batna,35.55,6.18,7.9,25.4,2.5,16.8,1.3,2.1,"[0.0, 30.0]"
987,Setif,36.4833,5.4167,7.8,12.5,2.1,20.6,0.6,1.3,"[0.0, 30.0]"
988,Setif,36.1833,5.4,7.8,15.4,1.4,14.5,0.35,1.45,"[0.0, 30.0]"
989,Wilaya of Mostaganem,35.933333,0.133333,7.8,23.0,2.1,15.6,0.45,1.35,"[0.0, 30.0]"
990,Tiaret,35.3882,1.6333,7.4,25.0,2.1,20.0,0.35,1.6,20.0
991,Tiaret,35.3642,1.3203,7.8,22.5,1.4,10.8,1.2,1.4,90.0
992,Setif,36.1833,5.4167,7.4,25.0,1.2,15.0,0.45,1.5,"[0.0, 20.0]"
994,Setif,36.1833,5.4,7.3,25.0,2.5,14.0,0.46,1.45,"[0.0, 30.0]"
998,Tiaret,35.383333,1.833333,7.4,12.6,2.2,20.5,0.45,1.4,"[0.0, 20.0]"
1000,Tiaret,35.37,2.45,7.2,23.5,2.1,14.5,0.38,1.42,"[0.0, 30.0]"
1001,Setif,36.1833,5.4,7.8,10.2,1.3,14.8,0.53,1.45,"[0.0, 20.0]"
1011,Relizane,35.733333,0.566667,8.1,23.0,1.4,20.5,0.13,1.4,"[0.0, 20.0]"
1012,Constantine,36.3411,6.6222,8.5,15.2,2.1,25.7,1.4,1.6,10.0
1015,Bejaea,36.75,5.05,8.15,23.45,1.45,12.65,0.65,1.65,250.0
1016,Tiaret,35.3875,1.6333,7.8,120.0,1.5,20.0,0.2,1.6,"[0.0, 20.0]"
1020,Tipaza,36.58,2.45,8.5,350.0,2.5,15.0,0.25,1.6,"[0.0, 20.0]"
1023,Bejaea,36.75,5.05,8.3,17.4,2.4,12.3,0.38,1.45,450.0
1024,Guelma,36.4583,7.4333,7.8,23.4,1.9,15.6,1000.0,1.7,"[0.0, 20.0]"
1032,Bejaea,36.753342,5.080949,7.4,35.2,2.43,14.8,0.42,1.73,"[0.0, 50.0]"
1036,Algiers,36.7642,3.0503,7.5,99.08,19.88,10.05,39.0,17.5,"[5.0, 20.0, 5.0, 9000.0]"
1049,Sidi Bel Abbes,35.1833,0.6333,7.5,0.954,0.12,21.947,0.125,1.291,4
1055,Bejaea,36.7547,5.0664,7.4,23.0,4.2,24.0,0.55,1.4,3000.0
1060,Tiaret,35.3833,1.1333,8.4,22.0,1.8,15.0,0.4,1.6,"[100.0, 300.0]"
1062,Bejaea,36.75,5.05,7.5,20.4,3.2,15.9,0.32,1.65,"[0.0, 20.0]"
1065,Bejaea,36.75,5.05,8.2,35.6,3.4,24.6,450.0,1.55,1.5
1074,Ain Temouchent,35.4567,-1.1345,7.5,250.0,3.2,20.0,0.5,1.6,2
1076,Tlemcen,34.89,1.31,8.2,200.0,2.5,15.0,0.14,1.4,"[0.0, 20.0]"
1080,Algiers,36.7833,3.05,7.2,5.5,3.2,15.6,0.23,1.45,50.0
1081,Bejaea,36.75,5.05,7.3,14.5,3.1,12.2,350.0,1.65,"[0.0, 4000.0]"
1086,Medea,36.2667,2.75,8.81,185.0,0.2,26.42,41.7,0.171,"[100.0, 1000.0]"
1088,Tipaza,36.5667,2.45,8.0,38.0,2.4,41.67,100.0,1.8,1500.0
1089,Annaba,36.8333,7.75,0.0,0.0,0.0,0.0,0.0,0.0,1500.0
1092,Bejaea,36.75,5.05,7.5,20.4,2.1,7.3,0.4,1.65,"[0.0, 20.0]"
1096,Tizi-Ouzou,36.7167,4.05,7.38,12.6,2.5,21.5,0.35,1.35,"[0.0, 30.0]"
1117,Tiaret,35.2167,2.6333,8.4,34.1,1.37,15.8,1.35,1.45,"[0.0, 90.0]"
1119,Tiaret,35.3833,1.85,8.1,23.4,1.4,15.2,2.5,1.6,"[0.0, 20.0]"
1124,Mostaganem,35.9333,0.1333,8.2,143.5,1.23,15.6,124.5,1.45,150.0
1130,Constantine,36.3651,6.6127,8.55,87.24,5.19,22.21,49.0,1.34,"[0.0, 30.0]"
1139,Tiaret,35.383333,2.433333,8.2,13.8,1.1,22.5,1.19,1.42,"[0.0, 150.0]"
1142,El-Hodna,34.8833,5.7167,7.83,18.25,1.15,15.32,1.21,1.48,"[0.0, 90.0, 0.0, 150.0]"
